[08:37:48] 5000
[08:37:48] mse= 1.3121626528210009
[08:37:48] best_mse= 1.3121626528210009
[08:37:48] mse= 0.9656727761799503
[08:37:48] best_mse= 0.9656727761799503
[08:37:48] mse= 0.7530329934002713
[08:37:48] best_mse= 0.7530329934002713
[08:37:48] mse= 0.6225341981152824
[08:37:48] best_mse= 0.6225341981152824
[08:37:48] mse= 0.5424445260399029
[08:37:48] best_mse= 0.5424445260399029
[08:37:48] mse= 0.4932910114385613
[08:37:48] best_mse= 0.4932910114385613
[08:37:48] mse= 0.46312341548609604
[08:37:48] best_mse= 0.46312341548609604
[08:37:48] mse= 0.4446079381998803
[08:37:48] best_mse= 0.4446079381998803
[08:37:48] mse= 0.4332437813243942
[08:37:48] best_mse= 0.4332437813243942
[08:37:48] mse= 0.4262687261764333
[08:37:48] best_mse= 0.4262687261764333
[08:37:48] mse= 0.421987519393587
[08:37:48] best_mse= 0.421987519393587
[08:37:48] mse= 0.4193597157257349
[08:37:48] best_mse= 0.4193597157257349
[08:37:48] mse= 0.41774674014935065
[08:37:48] best_mse= 0.41774674014935065
[08:37:48] mse= 0.4167566588627364
[08:37:48] best_mse= 0.4167566588627364
[08:37:48] mse= 0.4161489128573521
[08:37:48] best_mse= 0.4161489128573521
[08:37:48] mse= 0.41577585036230846
[08:37:48] best_mse= 0.41577585036230846
[08:37:48] mse= 0.41554684307588213
[08:37:48] best_mse= 0.41554684307588213
[08:37:48] mse= 0.41540626251887924
[08:37:48] best_mse= 0.41540626251887924
[08:37:48] mse= 0.4153199627796406
[08:37:48] best_mse= 0.4153199627796406
[08:37:48] mse= 0.4152669839954242
[08:37:48] best_mse= 0.4152669839954242
[08:37:48] mse= 0.4152344600826269
[08:37:48] best_mse= 0.4152344600826269
[08:37:48] mse= 0.4152144931248371
[08:37:48] best_mse= 0.4152144931248371
[08:37:48] mse= 0.4152022348504417
[08:37:48] best_mse= 0.4152022348504417
[08:37:48] mse= 0.41519470900804245
[08:37:48] best_mse= 0.41519470900804245
[08:37:48] mse= 0.41519008850503486
[08:37:48] best_mse= 0.41519008850503486
[08:37:48] mse= 0.4151872516851203
[08:37:48] best_mse= 0.4151872516851203
[08:37:48] mse= 0.41518550994777653
[08:37:48] best_mse= 0.41518550994777653
[08:37:48] mse= 0.4151844405433909
[08:37:48] best_mse= 0.4151844405433909
[08:37:48] mse= 0.41518378393009314
[08:37:48] best_mse= 0.41518378393009314
[08:37:48] mse= 0.41518338076231404
[08:37:48] best_mse= 0.41518338076231404
[08:37:48] mse= 0.4151831332080551
[08:37:48] best_mse= 0.4151831332080551
[08:37:48] mse= 0.41518298120110486
[08:37:48] best_mse= 0.41518298120110486
[08:37:48] mse= 0.4151828878617143
[08:37:48] best_mse= 0.4151828878617143
[08:37:48] mse= 0.415182830545835
[08:37:48] best_mse= 0.415182830545835
[08:37:48] mse= 0.4151827953498231
[08:37:48] best_mse= 0.4151827953498231
[08:37:48] mse= 0.4151827737365538
[08:37:48] best_mse= 0.4151827737365538
[08:37:48] mse= 0.4151827604639542
[08:37:48] best_mse= 0.4151827604639542
[08:37:48] mse= 0.4151827523131575
[08:37:48] best_mse= 0.4151827523131575
[08:37:48] mse= 0.4151827473075974
[08:37:48] best_mse= 0.4151827473075974
[08:37:48] mse= 0.4151827442335267
[08:37:48] best_mse= 0.4151827442335267
[08:37:48] mse= 0.4151827423456066
[08:37:48] best_mse= 0.4151827423456066
[08:37:48] mse= 0.4151827411861301
[08:37:48] best_mse= 0.4151827411861301
[08:37:48] mse= 0.4151827404740172
[08:37:48] best_mse= 0.4151827404740172
[08:37:48] mse= 0.41518274003665173
[08:37:48] best_mse= 0.41518274003665173
[08:37:48] mse= 0.4151827397680254
[08:37:48] best_mse= 0.4151827397680254
[08:37:48] mse= 0.41518273960303403
[08:37:48] best_mse= 0.41518273960303403
[08:37:48] mse= 0.4151827395016935
[08:37:48] best_mse= 0.4151827395016935
[08:37:48] mse= 0.41518273943944733
[08:37:48] best_mse= 0.41518273943944733
[08:37:48] mse= 0.41518273940121314
[08:37:48] best_mse= 0.41518273940121314
[08:37:48] mse= 0.41518273937772776
[08:37:48] best_mse= 0.41518273937772776
[08:37:48] mse= 0.4151827393633014
[08:37:48] best_mse= 0.4151827393633014
[08:37:48] mse= 0.41518273935443967
[08:37:48] best_mse= 0.41518273935443967
[08:37:48] mse= 0.41518273934899597
[08:37:48] best_mse= 0.41518273934899597
[08:37:48] mse= 0.41518273934565186
[08:37:48] best_mse= 0.41518273934565186
[08:37:48] mse= 0.4151827393435975
[08:37:48] best_mse= 0.4151827393435975
[08:37:48] mse= 0.41518273934233557
[08:37:48] best_mse= 0.41518273934233557
[08:37:48] mse= 0.41518273934156025
[08:37:48] best_mse= 0.41518273934156025
[08:37:48] mse= 0.4151827393410839
[08:37:48] best_mse= 0.4151827393410839
[08:37:48] mse= 0.41518273934079136
[08:37:48] best_mse= 0.41518273934079136
[08:37:48] mse= 0.4151827393406115
[08:37:48] best_mse= 0.4151827393406115
[08:37:48] mse= 0.41518273934050104
[08:37:48] best_mse= 0.41518273934050104
[08:37:48] mse= 0.4151827393404332
[08:37:48] best_mse= 0.4151827393404332
[08:37:48] mse= 0.4151827393403915
[08:37:48] best_mse= 0.4151827393403915
[08:37:48] mse= 0.41518273934036587
[08:37:48] best_mse= 0.41518273934036587
[08:37:48] mse= 0.41518273934035016
[08:37:48] best_mse= 0.41518273934035016
[08:37:48] mse= 0.4151827393403404
[08:37:48] best_mse= 0.4151827393403404
[08:37:48] mse= 0.4151827393403346
[08:37:48] best_mse= 0.4151827393403346
[08:37:48] mse= 0.41518273934033095
[08:37:48] best_mse= 0.41518273934033095
[08:37:48] mse= 0.41518273934032857
[08:37:48] best_mse= 0.41518273934032857
[08:37:48] mse= 0.4151827393403273
[08:37:48] best_mse= 0.4151827393403273
[08:37:48] mse= 0.4151827393403264
[08:37:48] best_mse= 0.4151827393403264
[08:37:48] mse= 0.41518273934032585
[08:37:48] best_mse= 0.41518273934032585
[08:37:48] mse= 0.41518273934032557
[08:37:48] best_mse= 0.41518273934032557
[08:37:48] mse= 0.4151827393403254
[08:37:48] best_mse= 0.4151827393403254
[08:37:48] mse= 0.4151827393403253
[08:37:48] best_mse= 0.4151827393403253
[08:37:48] mse= 0.41518273934032524
[08:37:48] best_mse= 0.41518273934032524
[08:37:48] mse= 0.4151827393403251
[08:37:48] best_mse= 0.4151827393403251
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.4151827393403251
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.4151827393403251
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.4151827393403251
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.4151827393403251
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.4151827393403251
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.41518273934032507
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.4151827393403251
[08:37:48] best_mse= 0.41518273934032507
[08:37:48] mse= 0.4151827393403251
